file_name,transcription
s01u001.wav,Pwede ba akong mag-ask kung ano yung rights ko?
s01u002.wav,"Hindi ko alam kung ano gagawin ko, na-involve kasi ako sa gulo."
s01u003.wav,"Ano po yung diversion, tsaka paano po yun nangyayari?"
s01u004.wav,"Nahuli ako kasi nag-away kami sa labas, first time ko lang po."
s01u005.wav,Pwede pa ba akong tulungan kahit minor ako?
s01u006.wav,"Yung mga kaibigan ko, sabi nila okay lang mag-inom pero natatakot ako."
s01u007.wav,Paano ko malalaman kung anong kaso yung meron ako?
s01u008.wav,Gusto ko sana mag-stop sa vices ko pero ang hirap.
s01u009.wav,Ano yung mangyayari sa akin kapag under eighteen pa ako?
s01u010.wav,May karapatan ba akong tumawag ng magulang ko?
s01u011.wav,"Natatakot ako sa pulis, hindi ko alam kung ano isasagot ko."
s01u012.wav,Bakit kailangan pa ng barangay dito sa kaso ko?
s01u013.wav,Sino yung pwede kong lapitan para tulungan ako?
s01u014.wav,Nag-try lang po ako mag-smoking kasi na-pressure ako ng barkada.
s01u015.wav,"Kung sasabihin ko yung totoo, mababawasan ba yung parusa sa akin?"
s02u001.wav,Pwede ba akong mag-ask kung ano yung rights ko?
s02u002.wav,"Hindi ko alam kung ano gagawin ko, na-involve kasi ako sa gulo."
s02u003.wav,"Ano po yung diversion, tsaka paano po yun nangyayari?"
s02u004.wav,"Nahuli ako kasi nag-away kami sa labas, first time ko lang po."
s02u005.wav,Pwede pa ba akong tulungan kahit minor ako?
s02u006.wav,"Yung mga kaibigan ko, sabi nila okay lang mag-inom pero natatakot ako."
s02u007.wav,Paano ko malalaman kung anong kaso yung meron ako?
s02u008.wav,Gusto ko sana mag-stop sa vices ko pero ang hirap.
s02u009.wav,Ano yung mangyayari sa akin kapag under eighteen pa ako?
s02u010.wav,May karapatan ba akong tumawag ng magulang ko?
s02u011.wav,"Natatakot ako sa pulis, hindi ko alam kung ano isasagot ko."
s02u012.wav,Bakit kailangan pa ng barangay dito sa kaso ko?
s02u013.wav,Sino yung pwede kong lapitan para tulungan ako?
s02u014.wav,Nag-try lang po ako mag-smoking kasi na-pressure ako ng barkada.
s02u015.wav,"Kung sasabihin ko yung totoo, mababawasan ba yung parusa sa akin?"
